author,paper_count,topic_count,topics,first_seen,last_seen,papers
Jingyang Yuan,7,3,主模型、推理/RL、系统/效率,2024-05,2026-05,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；Native Sparse Attention；mHC；DeepSeek-V3.2；DeepSeek-V4
Lean Wang,7,3,主模型、推理/RL、系统/效率,2024-05,2026-05,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；Native Sparse Attention；mHC；DeepSeek-V3.2；DeepSeek-V4
Mingchuan Zhang,7,3,主模型、推理/RL、数学/证明,2024-01,2026-05,DeepSeek LLM；DeepSeekMath；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Qinyu Chen,7,4,主模型、代码、推理/RL、系统/效率,2024-05,2026-05,DeepSeek-V2；DeepSeek-Coder-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；Conditional Memory；DeepSeek-V4
Shunfeng Zhou,7,3,主模型、推理/RL、系统/效率,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DualPath；DeepSeek-V4
Xingchao Liu,7,3,主模型、多模态、推理/RL,2024-10,2026-05,Janus；DeepSeek-V3 Technical Report；DeepSeek-VL2；DeepSeek-R1；Janus-Pro；DeepSeek-V3.2；DeepSeek-V4
Yaohui Wang,7,3,主模型、代码、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-Coder-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Ying He,7,3,主模型、推理/RL、系统/效率,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；Insights into DeepSeek-V3；DeepSeek-V3.2；DeepSeek-V4
Z. Z. Ren,7,3,主模型、推理/RL、数学/证明,2024-05,2025-12,DeepSeek-V2；DeepSeek-Prover-V1.5；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-Prover-V2；DeepSeekMath-V2；DeepSeek-V3.2
Zhe Fu,7,3,主模型、推理/RL、数学/证明,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-Prover-V2；DeepSeek-V3.2；DeepSeek-V4
Zhiyu Wu,7,3,主模型、多模态、推理/RL,2024-10,2026-05,Janus；DeepSeek-V3 Technical Report；DeepSeek-VL2；DeepSeek-R1；Janus-Pro；DeepSeek-V3.2；DeepSeek-V4
Zhuoshu Li,7,4,主模型、多模态、推理/RL、系统/效率,2024-03,2026-05,DeepSeek-VL；DeepSeek-V2；ESFT；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Zizheng Pan,7,3,主模型、多模态、推理/RL,2024-10,2026-05,Janus；DeepSeek-V3 Technical Report；DeepSeek-VL2；DeepSeek-R1；Janus-Pro；DeepSeek-V3.2；DeepSeek-V4
Aixin Liu,6,4,主模型、代码、多模态、推理/RL,2024-05,2025-12,DeepSeek-V2；DeepSeek-Coder-V2；DeepSeek-V3 Technical Report；DeepSeek-VL2；DeepSeek-R1；DeepSeek-V3.2
Erhang Li,6,2,主模型、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Fangyun Lin,6,2,主模型、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Guangbo Hao,6,2,主模型、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Guowei Li,6,2,主模型、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Honghui Ding,6,2,主模型、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Huajian Xin,6,3,主模型、推理/RL、数学/证明,2024-05,2025-04,DeepSeek-Prover；DeepSeek-V2；DeepSeek-Prover-V1.5；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-Prover-V2
Hui Qu,6,2,主模型、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Junjie Qiu,6,2,主模型、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Kaige Gao,6,2,主模型、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Lecong Zhang,6,2,主模型、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Minghua Zhang,6,2,主模型、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Minghui Tang,6,2,主模型、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Ruiqi Ge,6,2,主模型、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Shanghao Lu,6,2,主模型、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Shanhuang Chen,6,2,主模型、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Shiyu Wang,6,2,主模型、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Shuiping Yu,6,2,主模型、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Tian Pei,6,2,主模型、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Xiaodong Liu,6,2,主模型、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Xiaotao Nie,6,2,主模型、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Xin Liu,6,2,主模型、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Xuecheng Su,6,2,主模型、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Yanhong Xu,6,2,主模型、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Yao Li,6,2,主模型、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Yao Zhao,6,2,主模型、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Yichao Zhang,6,2,主模型、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Yiliang Xiong,6,2,主模型、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Yixuan Tan,6,3,主模型、推理/RL、系统/效率,2024-05,2026-05,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DualPath；DeepSeek-V4
Yiyang Ma,6,3,主模型、多模态、推理/RL,2024-10,2026-05,Janus；DeepSeek-V3 Technical Report；DeepSeek-VL2；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Yiyuan Liu,6,2,主模型、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Yuheng Zou,6,2,主模型、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Z. F. Wu,6,3,主模型、推理/RL、数学/证明,2024-08,2026-05,DeepSeek-Prover-V1.5；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-Prover-V2；DeepSeek-V3.2；DeepSeek-V4
Zehui Ren,6,2,主模型、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Zhangli Sha,6,2,主模型、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Zhengyan Zhang,6,3,主模型、推理/RL、系统/效率,2024-12,2026-05,DeepSeek-V3 Technical Report；DeepSeek-R1；Native Sparse Attention；mHC；DeepSeek-V3.2；DeepSeek-V4
Zihui Gu,6,3,主模型、代码、推理/RL,2024-05,2026-05,DeepSeek-V2；DeepSeek-Coder-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Ziwei Xie,6,2,主模型、推理/RL,2024-01,2026-05,DeepSeek LLM；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Bo Liu,5,3,主模型、多模态、数学/证明,2024-01,2024-08,DeepSeek LLM；DeepSeek-VL；DeepSeek-Prover；DeepSeek-V2；DeepSeek-Prover-V1.5
Chengda Lu,5,3,主模型、推理/RL、数学/证明,2024-12,2026-05,DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeekMath-V2；DeepSeek-V3.2；DeepSeek-V4
Dongjie Ji,5,2,主模型、推理/RL,2024-05,2026-05,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Jian Liang,5,2,主模型、推理/RL,2024-05,2026-05,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Jianzhong Guo,5,2,主模型、推理/RL,2024-01,2025-12,DeepSeek LLM；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2
Jin Chen,5,2,主模型、推理/RL,2024-05,2026-05,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Kuai Yu,5,3,主模型、推理/RL、系统/效率,2024-12,2026-05,DeepSeek-V3 Technical Report；DeepSeek-R1；mHC；DeepSeek-V3.2；DeepSeek-V4
Leyi Xia,5,2,主模型、推理/RL,2024-05,2026-05,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Miaojun Wang,5,2,主模型、推理/RL,2024-05,2026-05,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Mingming Li,5,2,主模型、推理/RL,2024-05,2026-05,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Peng Zhang,5,2,主模型、推理/RL,2024-05,2026-05,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Ruizhe Pan,5,2,主模型、推理/RL,2024-05,2026-05,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Ruyi Chen,5,2,主模型、推理/RL,2024-05,2026-05,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Shaoqing Wu,5,2,主模型、推理/RL,2024-05,2026-05,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
W. L. Xiao,5,2,主模型、推理/RL,2024-05,2026-05,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Wei An,5,2,主模型、推理/RL,2024-05,2026-05,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
Xianzu Wang,5,2,主模型、推理/RL,2024-05,2026-05,DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-R1；DeepSeek-V3.2；DeepSeek-V4
